epoch,train_loss,train accuracy,test accuracy,total training time
0,1.75,63.16,62.31,5.03
1,0.92,69.75,68.68,10.76
2,0.74,75.12,74.10,16.07
3,0.66,78.62,77.53,21.21
4,0.60,80.67,79.77,26.36
5,0.56,81.14,79.82,33.18
6,0.53,82.39,81.23,40.10
7,0.51,81.67,80.70,45.48
8,0.49,83.01,81.62,51.48
9,0.48,83.68,82.32,56.73
